Id,Weekly_Sales
1_1_2012-11-02,33631.62010180623
1_1_2012-11-09,47628.20503961412
1_1_2012-11-16,9505.1999475771
1_1_2012-11-23,39728.17759852217
1_1_2012-11-30,29315.99117651888
1_1_2012-12-07,5128.925886494252
1_1_2012-12-14,22994.05519909688
1_1_2012-12-21,40504.613426724136
1_1_2012-12-28,45447.92399822517
1_1_2013-01-04,34002.47308258476
1_1_2013-01-11,25102.759259441707
1_1_2013-01-18,9733.600877668312
1_1_2013-01-25,42822.46318288178
1_1_2013-02-01,13455.5973817734
1_1_2013-02-08,6295.741135878488
1_1_2013-02-15,7850.761819533915
1_1_2013-02-22,12816.294769425496
1_1_2013-03-01,1132.7505307881775
1_1_2013-03-08,3221.956590517241
1_1_2013-03-15,8397.71885114598
1_1_2013-03-22,8310.149906791461
1_1_2013-03-29,23982.745876436777
1_1_2013-04-05,7048.684372331691
1_1_2013-04-12,11042.816438834156
1_1_2013-04-19,7916.415049461064
1_1_2013-04-26,1837.0834794745488
1_1_2013-05-03,793.3653513957302
1_1_2013-05-10,4876.755279146143
1_1_2013-05-17,2612.6946724137933
1_1_2013-05-24,1811.3874738853096
1_1_2013-05-31,6720.174702928378
1_1_2013-06-07,6212.169541806875
1_1_2013-06-14,11686.975061165844
1_1_2013-06-21,2545.1360098522164
1_1_2013-06-28,2239.384741636885
1_1_2013-07-05,2836.4452290640393
1_1_2013-07-12,92809.19763929938
1_1_2013-07-19,62089.670976190464
1_1_2013-07-26,1478.55521818555
1_2_2012-11-02,8171.3516110426945
1_2_2012-11-09,5540.245332991244
1_2_2012-11-16,18844.07582738095
1_2_2012-11-23,2119.5852791461407
1_2_2012-11-30,9982.218657127383
1_2_2012-12-07,2288.57182833016
1_2_2012-12-14,12130.039144909691
1_2_2012-12-21,1051.04629455889
1_2_2012-12-28,2469.4998456486046
1_2_2013-01-04,475.17944868637096
1_2_2013-01-11,1294.4753612479471
1_2_2013-01-18,6108.662397988506
1_2_2013-01-25,2448.319117107031
1_2_2013-02-01,50270.26846839081
1_2_2013-02-08,8840.517688013133
1_2_2013-02-15,42647.75506855501
1_2_2013-02-22,19577.471326765186
1_2_2013-03-01,31121.58353633005
1_2_2013-03-08,20171.063681650256
